releaseDate,title,revenue
2003-7,踊る大捜査線 THE MOVIE２　レインボーブリッジを封鎖せよ!,173.5
2003-7,ポケットモンスター アドバンスジェネレーション 七夜の願い星ジラーチおどるポケモンひみつ基地,45
2003-4,名探偵コナン 迷宮の十字路,32
2003-1,黄泉がえり,30.7
2003-9,座頭市,28.5
2003-3,ドラえもん のび太とふしぎ風使い　Pa-Pa-Pa ザ☆ムービー パーマン,25.4
2003-3,ワンピース THE MOVIE デッドエンドの冒険,20
2002-12,ゴジラ×メカゴジラ　劇場版とっとこハム太郎　ハムハムハムージャ！幻のプリンセス,19.1
2003-7,バトル・ロワイアルII 鎮魂歌(レクイエム） ,18.5
2003-10,黄金の法/エル・カンターレの歴史観,17
2003-10,陰陽師II ,16
2003-8,劇場版仮面ライダー555(ファイズ)　パラダイス・ロスト　劇場版爆竜戦隊アバレンジャー　DELUXE　アバレサマーはキンキン中！,15
2003-11, 木更津キャッツアイ　日本シリーズ ,15
2003-4,クレヨンしんちゃん 嵐を呼ぶ栄光のヤキニクロード,13.5
2003-1,Ｔ．Ｒ．Ｙ,11.5
2003-8,呪怨２ ,11
2002-12,犬夜叉　鏡の中の夢幻城,10.5
2003-8,ドラゴンヘッド ,10.4
