title,revenue,releaseDate
君の名は。,250.3,2016-8
シン・ゴジラ,82.5,2016-7
名探偵コナン　純黒の悪夢（ナイトメア）,63.3,2016-4
映画 妖怪ウォッチ　エンマ大王と５つの物語だニャン！ ,55.3,2015-12
ＯＮＥ ＰＩＥＣＥ ＦＩＬＭ ＧＯＬＤ,51.8,2016-7
信長協奏曲　ノブナガコンツェルト,46.1,2016-1
映画ドラえもん　新・のび太の日本誕生,41.2,2016-3
暗殺教室～卒業編～,35.2,2016-3
orange-オレンジ-,32.5,2015-12
この世界の片隅に,26.7,2016-11
映画 聲の形,23,2016-9
植物図鑑 運命の恋、ひろいました,22,2016-6
デスノート Ｌｉｇｈｔ ｕｐ ｔｈｅ ＮＥＷ ｗｏｒｌｄ,22,2016-10
ポケモン・ザ・ムービーXY＆Z　ボルケニオンと機巧（からくり）のマギアナ,21.5,2016-7
映画クレヨンしんちゃん　爆睡！ユメミーワールド大突撃,21.1,2016-4
ＨｉＧＨ ＆ ＬＯＷ ＴＨＥ ＭＯＶＩＥ,21.1,2016-7
母と暮せば,19.8,2015-12
６４-ロクヨン-前編,19.4,2016-5
６４-ロクヨン-後編,17.4,2016-6
ちはやふる -上の句-,16.3,2016-3
アイアムアヒーロー,16.2,2016-4
さらば あぶない刑事,16.1,2016-1
怒り,16.1,2016-9
後妻業の女,15.2,2016-8
TOO YOUNG TO DIE！若くして死ぬ,15.1,2016-6
ミュージアム,15,2016-11
ルドルフとイッパイアッテナ,14.6,2016-8
四月は君の嘘,14.2,2016-9
僕だけがいない街,14,2016-3
家族はつらいよ,13.8,2016-3
殿、利息でござる！,13.7,2016-5
エヴェレスト 神々の山嶺,12.6,2016-3
青空エール,12.5,2016-8
黒崎くんの言いなりになんてならない,12.3,2016-2
世界から猫が消えたなら,12.3,2016-5
ちはやふる -下の句-,12.2,2016-4
杉原千畝　スギハラチウネ,12.1,2015-12
オオカミ少女と黒王子,12.1,2016-5
ＨｉＧＨ ＆ ＬＯＷ ＴＨＥ ＲＥＤ ＲＡＩＮ,11.8,2016-10
超高速！参勤交代 リターンズ,11.6,2016-9
何者,10.7,2016-10
遊戯王 THE DARK SIDE OF DIMENSIONS,10,2016-4
貞子ｖｓ伽椰子,10,2016-6
