title,revenue,releaseDate
劇場版コード・ブルー -ドクターヘリ緊急救命-,93,2018-7
名探偵コナン　ゼロの執行人（しっこうにん）,91.8,2018-4
映画ドラえもん　のび太の宝島,53.7,2018-3
万引き家族,45.5,2018-6
銀魂２ 掟は破るためにこそある,37,2018-8
DESTINY 鎌倉ものがたり,32.1,2017-12
カメラを止めるな！,31.2,2018-6
劇場版ポケットモンスター みんなの物語,30.9,2018-7
検察側の罪人,29.6,2018-8
未来のミライ,28.8,2018-7
８年越しの花嫁　奇跡の実話,28.2,2017-12
映画 妖怪ウォッチ シャドウサイド 鬼王の復活,20.4,2017-12
スマホを落としただけなのに,19.6,2018-11
映画クレヨンしんちゃん　爆盛！カンフーボーイズ ～拉?大乱～,18.4,2018-4
空飛ぶタイヤ,17.4,2018-6
ちはやふる －結び－,17.3,2018-3
僕のヒーローアカデミア THE MOVIE ?2人の英雄?,17.2,2018-8
空海－ＫＵ-ＫＡＩ－　美しき王妃の謎,17,2018-2
祈りの幕が下りる時,15.9,2018-1
コーヒーが冷めないうちに,15,2018-9
ラプラスの魔女,14,2018-5
仮面ライダー平成ジェネレーションズFINAL ビルド＆エグゼイドwithレジェンドライダー,12.8,2017-12
日日是好日,12.8,2018-10
北の桜守,12.7,2018-3
５０回目のファーストキス,12.6,2018-6
センセイ君主 ,12.3,2018-8
映画ＨＵＧっと！プリキュア?ふたりはプリキュア　オールスターズメモリーズ,11.5,2018-10
鋼の錬金術師,11.1,2017-12
今夜、ロマンス劇場で,10.2,2018-2
劇場版 仮面ライダービルド Be The One／快盗戦隊ルパンレンジャーVS警察戦隊パトレンジャー en film,10.2,2018-8
人魚の眠る家,10,2018-11
