releaseDate,title,revenue
2006-7,ゲド戦記,78.4
2006-5,LIMIT OF LOVE 海猿,71
2006-1,THE 有頂天ホテル,60.8
2006-7,日本沈没 ,53.4
2006-11,デスノート　ｔｈｅ　Ｌａｓｔ　ｎａｍｅ,52
2005-12,男たちの大和/YAMATO,50.9
2006-7,劇場版ポケットモンスター　アドバンスジェネレーション　ポケモンレンジャーと蒼海(うみ)の王子マナフィ,34
2006-3,ドラえもん　のび太の恐竜2006,32.8
2006-9,涙そうそう,31
2006-4,名探偵コナン　探偵たちの鎮魂歌（レクイエム）,30.3
2006-6,デスノート　前編 ,28.5
2006-5,明日の記憶,22
2006-6,トリック　-劇場版２-,21
2006-2,県庁の星,20.8
2006-7,ブレイブ　ストーリー,20
2005-12,あらしのよるに,18.8
2006-10,木更津キャッツアイ　ワールドシリーズ,18
2006-3,子ぎつねヘレン,17.8
2006-9,フラガール,14
2006-4,クレヨンしんちゃん 伝説を呼ぶ踊れ！アミーゴ！,13.8
2006-8,ＵＤＯＮ,13.6
2006-5,嫌われ松子の一生,13.1
2006-9,永遠の法,12.5
2006-1,博士の愛した数式,12
2006-6,バルトの楽園 ,12
2006-11,手紙,12
2006-4,チェケラッチョ！！,10.8
2006-6, タイヨウのうた,10.5
