releaseDate,title,revenue
2011-7,コクリコ坂から,44.6
2011-7,劇場版ポケットモンスター ベストウィッシュ「ビクティニと黒き英雄ゼクロム」「ビクティニと白き英雄レシラム」 ,43.3
2011-10,ステキな金縛り,42.8
2010-12,ＳＰＡＣＥ ＢＡＴＴＬＥＳＨＩＰ　ヤマト,41
2011-1,ＧＡＮＴＺ,34.5
2011-3,ＳＰ THE MOTION PICTURE 革命篇,33.3
2010-12,相棒 －劇場版Ⅱ－　警視庁占拠！特命係の一番長い夜,31.8
2011-4,名探偵コナン 沈黙の15分（クォーター）,31.5
2011-4,ＧＡＮＴＺ ＰＥＲＦＥＣＴ ＡＮＳＷＥＲ,28.2
2011-3,映画ドラえもん 新・のび太と鉄人兵団 ～はばたけ 天使たち～,24.6
2011-9, アンフェア ｔｈｅ ａｎｓｗｅｒ,23.4
2011-9,モテキ,22.2
2011-8,神様のカルテ,18.9
2011-6,アンダルシア 女神の報復,18.8
2010-12,劇場版イナズマイレブン 最強軍団オーガ襲来,17.7
2011-8,劇場版 仮面ライダーオーズ ＷＯＮＤＥＲＦＵＬ 将軍と２１のコアメダル海賊戦隊ゴーカイジャー ＴＨＥ ＭＯＶＩＥ 空飛ぶ幽霊船,17.6
2011-5,岳 －ガク－,16.3
2011-5,プリンセス トヨトミ,16.2
2011-11,カイジ２ 人生奪回ゲーム,16.1
2011-2,太平洋の奇跡 －フォックスと呼ばれた男－,15.7
2010-12,武士の家計簿,15
2010-12,ノルウェイの森,14
2011-6,パラダイス・キス,13.9
2010-12,仮面ライダー×仮面ライダー オーズ＆ダブル ＭＯＶＩＥ大戦ＣＯＲＥ,13.8
2011-4, オーズ・電王・オールライダー レッツゴー仮面ライダー オーズ・電王・オールライダー レッツゴー仮面ライダー,13.3
2011-4,八日目の蝉,12.4
2011-1,僕と妻の1778の物語,12.3
2011-9,探偵はＢＡＲにいる,12.2
2011-4,クレヨンしんちゃん 嵐を呼ぶ黄金のスパイ大作戦,12
2011-4,阪急電車 片道15分の奇跡,11.4
2011-2,あしたのジョー ,11
2011-3,映画プリキュアオールスターズＤＸ３ 未来にとどけ！世界をつなぐ☆虹色の花,10.2
