releaseDate,title,revenue
2012-7,ＢＲＡＶＥ ＨＥＡＲＴＳ　海猿,73.3
2012-4,テルマエ・ロマエ,59.8
2012-9, 踊る大捜査線 ＴＨＥ ＦＩＮＡＬ　新たなる希望,59.7
2012-11,ヱヴァンゲリヲン新劇場版：Ｑ,53
2012-7, おおかみこどもの雨と雪,42.2
2012-3,映画ドラえもん のび太と奇跡の島 ～アニマルアドベンチャー～,36.2
2012-7,劇場版ポケットモンスター ベストウィッシュ　キュレムＶＳ（たい）聖剣士ケルディオ,36.1
2012-1,ＡＬＷＡＹＳ 三丁目の夕日‘６４,34.4
2012-4,劇場版 名探偵コナン 11人目のストライカー,32.9
2011-11,映画 怪物くん,31.3
2012-8,るろうに剣心,30.1
2012-11,のぼうの城,28.4
2012-3,僕等がいた 前篇,25.2
2012-4,劇場版ＳＰＥＣ～天～,23.9
2012-8,あなたへ ,23.9
2012-11,悪の教典,23.4
2012-7,ヘルタースケルター ,21.5
2012-3,ライアーゲーム －再生－,21
2011-12,映画 けいおん！,19
2012-5,映画　ホタルノヒカリ,18.8
2012-4,僕等がいた 後篇,17.2
2012-1,麒麟の翼 ～劇場版・新参者～,16.8
2012-10,ツナグ,16.6
2012-5,宇宙兄弟,15.7
2012-4,仮面ライダー×スーパー戦隊 スーパーヒーロー大戦,15.6
2011-12,聯合艦隊司令長官 山本五十六 －太平洋戦争７０年目の真実－,15.3
2011-12,仮面ライダー×仮面ライダー フォーゼ＆オーズ　ＭＯＶＩＥ大戦 ＭＥＧＡ ＭＡＸ,15.1
2011-12,ｆｒｉｅｎｄｓ もののけ島のナキ,14.9
2011-12,源氏物語 千年の謎,14.8
2012-7, ＲＯＡＤ ＴＯ ＮＩＮＪＡ －ＮＡＲＵＴＯ ＴＨＥ ＭＯＶＩＥ－ ,14.8
2012-10,アウトレイジ ビヨンド,14.5
2012-11,北のカナリアたち ,14
2012-5,貞子３Ｄ,13.5
2012-4,わが母の記,13.3
2012-8,仮面ライダーオーズ ＴＨＥ ＭＯＶＩＥ　みんなで宇宙キターッ！特命戦隊ゴーバスターズ ＴＨＥ ＭＯＶＩＥ　東京エネタワーを守れ！,12.7
2012-7,エイトレンジャー,12
2012-1,ロボジー,11.6
2011-12,劇場版イナズマイレブンＧＯ 究極の絆 グリフォン,11.5
2012-3,映画プリキュアオールスターズＮｅｗＳｔａｇｅ　みらいのともだち,10.2
