releaseDate,title,revenue
2010-7,借りぐらしのアリエッティ,92.6
2010-9,ＴＨＥ ＬＡＳＴ ＭＥＳＳＡＧＥ 海猿,80.4
2010-7,踊る大捜査線THE MOVIE3　ヤツらを解放せよ,73.1
2009-12,ワンピース フィルム ストロングワールド,48
2010-7,劇場版　ﾎﾟｹｯﾄﾓﾝｽﾀｰ　ﾀﾞｲｱﾓﾝﾄﾞ＆ﾊﾟｰﾙ　幻影の覇者　ｿﾞﾛｱｰｸ,41.6
2009-12,のだめカンタービレ 最終楽章 前編,41
2010-6,告白,38.5
2010-4,のだめカンタービレ 最終楽章 後編,37.2
2010-10,SP 野望篇,36.3
2010-4,名探偵コナン 天空の難破船,32
2010-3,映画ドラえもん　のび太の人魚大海戦,31.6
2010-8,ハナミズキ,28.3
2010-3,ライアーゲーム ザ・ファイナルステージ,23.6
2010-10,大奥 ,23.2
2010-1,おとうと ,21
2010-9,悪人,19.8
2010-5,ＴＲＩＣＫ　霊能力者バトルロイヤル,18.6
2010-9,ＢＥＣＫ,17.6
2010-9,十三人の刺客,16
2009-12,仮面ライダー×仮面ライダー W＆ディケイドMOVIE大戦2010,15.4
2010-9,君に届け,15.3
2010-8,仮面ライダーW(ダブル) FOREVER AtoZ 運命のガイアメモリ　天装戦隊ゴセイジャー エピックON THE ムービー,14.7
2010-5,仮面ライダー×仮面ライダー×仮面ライダー　超・電王トリロジー（EPISODE RED ゼロのスタートウィンクル）（EPISODE BLUE 派遣イマジンはNEWトラル）（EPISODE YELLOW お宝 DE エンド・パイレーツ）,13.1
2010-4,映画クレヨンしんちゃん　超時空！嵐を呼ぶオラの花嫁,12.5
2010-10,インシテミル 7日間のデス・ゲーム ,12.2
2010-1,ゴールデンスランバー,11.5
2010-3,映画プリキュアオールスターズＤＸ２　希望の光☆レインボージュエルを守れ！,11.5
2010-4,劇場版　銀魂　新訳紅桜篇,10.7
2010-7,劇場版ＮＡＲＵＴＯ-ナルト-疾風伝　ザ・ロストタワー,10.3
