title,revenue,releaseDate
映画 妖怪ウォッチ　誕生の秘密だニャン！,78,2014-12
バケモノの子,58.5,2015-7
ＨＥＲＯ,46.7,2015-7
名探偵コナン　業火の向日葵（ひまわり）,44.8,2015-4
映画ドラえもん　のび太の宇宙英雄記（スペースヒーローズ）,39.3,2015-3
ドラゴンボールＺ 復活の「Ｆ」,37.4,2015-4
進撃の巨人　ATTACK ON TITAN,32.5,2015-8
映画 ビリギャル,28.4,2015-5
ラブライブ！Ｔｈｅ Ｓｃｈｏｏｌ Ｉｄｏｌ Ｍｏｖｉｅ,28.4,2015-6
映画 暗殺教室,27.7,2015-3
BORUTO　-NARUTO THE MOVIE-,26.2,2015-8
ポケモン・ザ・ムービーXY　光輪（リング）の超魔神フーパ ピカチュウとポケモンおんがくたい,26.1,2015-7
ガールズ＆パンツァー 劇場版,24.5,2015-11
ヒロイン失格,24.3,2015-9
アンフェア　the end,23.6,2015-9
ストロボ・エッジ,23.2,2015-3
映画クレヨンしんちゃん　オラの引越し物語～サボテン大襲撃～,22.9,2015-4
寄生獣,20.2,2014-11
THE LAST　-NARUTO THE MOVIE-,20,2014-12
アオハライド,19,2014-12
図書館戦争　THE LAST MISSION,18,2015-10
バクマン。,17.6,2015-10
海街ｄｉａｒｙ,16.8,2015-6
進撃の巨人　ATTACK ON TITAN エンド オブ ザ ワールド,16.8,2015-9
龍三と七人の子分たち,16,2015-4
寄生獣　完結編,15,2015-4
バンクーバーの朝日,14.2,2014-12
新宿スワン,13.3,2015-5
イニシエーション・ラブ,13.2,2015-5
日本のいちばん長い日,13.2,2015-8
ギャラクシー街道,13.2,2015-10
予告犯,13.1,2015-6
劇場版 ＭＯＺＵ,13.1,2015-11
TERRACE HOUSE CLOSING DOOR,13,2015-2
風に立つライオン,11.7,2015-3
心が叫びたがってるんだ。,11.2,2015-9
天空の蜂,10.8,2015-9
映画ＳＴ　赤と白の捜査ファイル,10.6,2015-1
グラスホッパー,10,2015-11
