title,revenue,releaseDate
天気の子,141.9,2019-7
名探偵コナン　紺青の拳（フィスト）,93.7,2019-4
キングダム,57.3,2019-4
劇場版「ONE PIECE STAMPEDE」,55.5,2019-8
映画ドラえもん　のび太の月面探査記,50.2,2019-3
マスカレード・ホテル,46.4,2019-1
ドラゴンボール超 ブロリー,40,2018-12
翔んで埼玉,37.6,2019-2
記憶にございません！,36.4,2019-9
ミュウツーの逆襲　EVOLUTION,29.8,2019-7
コンフィデンスマンJP,29.7,2019-5
劇場版おっさんずラブ ～LOVE or DEAD～,26.5,2019-8
かぐや様は告らせたい～天才たちの恋愛頭脳戦～,22.4,2019-9
七つの会議,21.6,2019-2
映画クレヨンしんちゃん　新婚旅行ハリケーン ～失われたひろし～,20.8,2019-4
アルキメデスの大戦,19.3,2019-7
劇場版　うたの☆プリンスさまっ♪マジLOVEキングダム,18.2,2019-6
ザ・ファブル,17.7,2019-6
劇場版「Fate/stay night ［Heaven's Feel］」Ⅱ.lost butterfly,16.6,2019-1
平成仮面ライダー20作記念 仮面ライダー平成ジェネレーションズFOREVER,15.6,2018-12
十二人の死にたい子どもたち,15.5,2019-1
劇場版シティーハンター,15.3,2019-2
プロメア,15,2019-5
映画　すみっコぐらし　とびだす絵本とひみつのコ,14.5,2019-11
ドラゴンクエスト　ユア・ストーリー,14.2,2019-8
フォルトゥナの瞳,13.7,2019-2
人間失格　太宰治と３人の女たち,13.2,2019-9
ラブライブ！サンシャイン！！The School Idol Movie Over the Rainbow,13,2019-1
映画　妖怪ウォッチ　FOREVER　FRIENDS,12.5,2018-12
HiGH&LOW THE WORST,12.5,2019-10
Diner ダイナー,12.4,2019-7
劇場版 仮面ライダージオウ Over Quartzer 騎士竜戦隊リュウソウジャー THE MOVIE タイムスリップ！恐竜パニック！！,11.7,2019-7
空母いぶき,11.6,2019-5
こんな夜更けにバナナかよ　愛しき実話,11.4,2018-12
雪の華,11.2,2019-2
引っ越し大名！,11.1,2019-8
君は月夜に光り輝く,11,2019-3
決算！忠臣蔵,11,2019-11
コードギアス　復活のルルーシュ,10.6,2019-2
最高の人生の見つけ方,10.5,2019-10
