releaseDate,title,revenue
2004-5,世界の中心で、愛をさけぶ,85
2004-10,いま、会いにゆきます ,48
2004-7,劇場版ポケットモンスター　アドバンスジェネレーション　裂空の訪問者デオキシス,43.8
2004-3,ドラえもん　のび太のワンニャン時空伝　Pa-Pa-Paザ☆ムービーパーマン タコDEポン！アシHAポン！,30.5
2004-4,名探偵コナン 銀翼の奇術師,28
2004-3, クイール ,22.2
2004-9,スウィングガールズ,21.5
2004-8, NIN×NIN 忍者ハットリくん THE MOVIE,19.3
2004-1,半落ち,19
2004-3,ワンピース THE MOVIE　呪われた聖剣,18
2004-6,海猿,17.4
2004-4,ＣＡＳＳＨＥＲＮ ,15.3
2004-1,着信アリ ,15
2004-8,劇場版NARUTO 大活劇!雪姫忍法帖だってばよ!!　劇場版NARUTO 木の葉の里の大うん動会 ,13.7
2003-12,ゴジラ×モスラ×メカゴジラ　東京ＳＯＳ　劇場版とっとこハム太郎 ハムハムグランプリン オーロラ谷の奇跡　リボンちゃん危機一髪！,13
2004-4,クレヨンしんちゃん　嵐を呼ぶ！夕陽のカスカベボーイズ,12.8
2004-7,スチームボーイ ,11.6
2004-1,解夏,10.9
2004-3,イノセンス,10
