title,revenue,releaseDate
劇場版「鬼滅の刃」無限列車編,365.5,2020-10
今日から俺は!!劇場版,53.7,2020-7
コンフィデンスマンJP　プリンセス編,38.4,2020-7
映画ドラえもん　のび太の新恐竜,33.5,2020-8
事故物件　恐い間取り,23.4,2020-8
糸,22.7,2020-8
劇場版　ヴァイオレット・エヴァーガーデン,21.3,2020-9
カイジ ファイナルゲーム,20.6,2020-1
劇場版 Fate/stay night [Heaven's Feel] III. spring song,19.5,2020-8
僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,17.9,2019-12
男はつらいよ お帰り 寅さん,14.7,2019-12
犬鳴村,14.1,2020-2
ヲタクに恋は難しい,13.4,2020-2
罪の声,12.2,2020-10
浅田家！,12.1,2020-10
スマホを落としただけなのに 囚われの殺人鬼,11.9,2020-2
映画クレヨンしんちゃん　激突！ラクガキングダムとほぼ四人の勇者,11.8,2020-9
午前０時、キスしに来てよ,11.7,2019-12
ルパン三世 THE FIRST,11.6,2019-12
屍人荘の殺人,10.9,2019-12
ＡＩ崩壊,10,2020-1
