title,revenue,releaseDate
名探偵コナン　から紅の恋歌（ラブレター）,68.9,2017-4
映画ドラえもん　のび太の南極カチコチ大冒険,44.3,2017-3
銀魂,38.4,2017-7
劇場版ポケットモンスター キミにきめた！,35.5,2017-7
君の膵臓をたべたい,35.2,2017-7
メアリと魔女の花,32.9,2017-7
映画 妖怪ウォッチ 空飛ぶクジラとダブル世界の大冒険だニャン！,32.6,2016-12
劇場版 ソードアート・オンライン　-オーディナル・スケール-,25.2,2017-2
忍びの国,25.1,2017-7
22年目の告白 ―私が殺人犯です―,24.1,2017-6
関ヶ原,24,2017-8
海賊とよばれた男,23.7,2016-12
昼顔,23.3,2017-6
帝一の國,19.3,2017-4
相棒‐劇場版Ⅳ‐　首都クライシス 人質は５０万人！特命係 最後の決断,19.2,2017-2
ぼくは明日、昨日のきみとデートする,18.5,2016-12
映画クレヨンしんちゃん　襲来！！宇宙人シリリ,16.2,2017-4
打ち上げ花火、下から見るか？横から見るか？,15.9,2017-8
アウトレイジ 最終章,15.9,2017-10
劇場版「Fate/stay night [Heaven's Feel]」Ⅰ.presage flower,15,2017-10
ミックス。,14.9,2017-10
キセキ －あの日のソビト－,14.8,2017-1
三度目の殺人,14.6,2017-9
亜人,14.4,2017-9
土竜の唄　香港狂騒曲,14.3,2016-12
ひるなかの流星,13.7,2017-3
ＨｉＧＨ ＆ ＬＯＷ ＴＨＥ ＭＯＶＩＥ ２ ／ ＥＮＤ ＯＦ ＳＫＹ,13.4,2017-8
ＨｉＧＨ ＆ ＬＯＷ ＴＨＥ ＭＯＶＩＥ ３ ／ ＦＩＮＡＬ ＭＩＳＳＩＯＮ,13.1,2017-11
チア☆ダン　～女子高生がチアダンスで全米制覇しちゃったホントの話～,13,2017-3
ナラタージュ,12.8,2017-10
ラストレシピ ～麒麟の舌の記憶～,11.4,2017-11
追憶,11.3,2017-5
東京喰種　トーキョーグール,11,2017-7
ナミヤ雑貨店の奇蹟,10.9,2017-9
劇場版 黒子のバスケ　ＬＡＳＴ ＧＡＭＥ,10.6,2017-3
本能寺ホテル,10.1,2017-1
ＰとＪＫ,10.1,2017-3
斉木楠雄のΨ難,10,2017-10
