releaseDate,title,revenue
2008-7,崖の上のポニョ ,155
2008-6,花より男子ファイナル,77.5
2008-9,おくりびと ,64.8
2008-10,容疑者Ｘの献身,49.2
2008-7,劇場版ポケットモンスター　ダイヤモンド＆パール　ギラティナと氷空(そら)の花束シェイミ,48
2008-5,相棒 -劇場版- 絶体絶命！42.195km東京ビッグシティマラソン,44.4
2008-8,２０世紀少年　第１章,39.5
2008-6,ザ・マジックアワー,39.2
2008-3,映画ドラえもん　のび太と緑の巨人伝,33.7
2007-12,マリと子犬の物語,31.8
2008-2,Ｌ　ｃｈａｎｇｅ　ｔｈｅ　ＷｏｒＬｄ,31
2008-4,名探偵コナン　戦慄の楽譜＜フルスコア＞,24.2
2008-9,パコと魔法の絵本,23.6
2008-8,デトロイト・メタル・シティ,23.4
2008-1,母べえ ,21.2
2008-1,陰日向に咲く,19.5
2008-3,クロサギ,17.2
2008-2,チーム・バチスタの栄光,15.6
2008-3,犬と私の10の約束,15.2
2008-4,少林少女 ,15.1
2008-7,ゲゲゲの鬼太郎　千年呪い歌,14.5
2008-11,ハッピーフライト,13.3
2008-4,映画クレヨンしんちゃん　ちょー嵐を呼ぶ　金矛〈きんぽこ〉の勇者！,12.3
2008-7,クライマーズ・ハイ,11.9
2008-8,劇場版ＮＡＲＵＴＯ －ナルト－ 疾風伝　絆,11.6
2007-12,椿三十郎,11.5
2008-1, 銀色のシーズン,10.4
2008-4,砂時計 ,10
