title,revenue,releaseDate
風立ちぬ ,120.2,2013-7
ＯＮＥ ＰＩＥＣＥ ＦＩＬＭ Ｚ,68.7,2012-12
映画ドラえもん のび太のひみつ道具博物館（ミュージアム）,39.8,2013-3
名探偵コナン 絶海の探偵（プライベート・アイ）,36.3,2013-4
真夏の方程式,33.1,2013-6
映画 謎解きはディナーのあとで,32.5,2013-8
そして父になる,32,2013-9
 劇場版ポケットモンスター ベストウィッシュ『神速のゲノセクト ミュウツー覚醒』／ピカチュウとイーブイ☆フレンズ,31.7,2013-7
ドラゴンボールＺ 神と神,29.9,2013-3
清須会議,29.6,2013-11
劇場版 ＳＰＥＣ ～結～ 漸ノ篇,27.5,2013-11
プラチナデータ,26.4,2013-3
謝罪の王様,21.8,2013-9
ストロベリーナイト,21.5,2013-1
劇場版 魔法少女まどか☆マギカ［新編］叛逆の物語,20.8,2013-10
劇場版 ＳＰＥＣ ～結～ 爻ノ篇,20.6,2013-11
劇場版 ＡＴＡＲＵ ‐ＴＨＥ ＦＩＲＳＴ ＬＯＶＥ ＆ ＴＨＥ ＬＡＳＴ ＫＩＬＬ‐,18.5,2013-9
藁の楯 わらのたて,18.3,2013-4
東京家族,18.2,2013-1
陽だまりの彼女,17.9,2013-10
今日、恋をはじめます,17.7,2012-12
図書館戦争,17.2,2013-4
劇場版銀魂 完結篇 万事屋よ永遠なれ,17,2013-7
少年Ｈ,15.6,2013-8
相棒シリーズ Ｘ ＤＡＹ,13.4,2013-3
映画クレヨンしんちゃん バカうまっ！Ｂ級グルメサバイバル！！,13,2013-4
脳男,12.7,2013-3
劇場版 仮面ライダーウィザード イン マジックランド／劇場版 獣電戦隊キョウリュウジャー ガブリンチョ・オブ・ミュージック,12.3,2013-8
劇場版 ＨＵＮＴＥＲ×ＨＵＮＴＥＲ 緋色の幻影,12.1,2013-1
仮面ライダー×仮面ライダー ウィザード＆フォーゼ　ＭＯＶＩＥ大戦アルティメイタム,11.9,2012-12
映画 妖怪人間ベム,11.7,2012-12
劇場版 あの日見た花の名前を僕達はまだ知らない。,10.4,2013-8
映画プリキュアオールスターズＮｅｗＳｔａｇｅ２　こころのともだち,10.3,2013-3
クロユリ団地,10.2,2013-5
奇跡のリンゴ,10.2,2013-6
