releaseDate,title,revenue
2009-5, ＲＯＯＫＩＥＳ－卒業－,85.5
2009-7,劇場版ポケットモンスター／ダイヤモンド＆パール　アルセウス　超克（ちょうこく）の時空へ,46.7
2009-8, ２０世紀少年＜最終章＞ぼくらの旗,44.1
2009-6,ヱヴァンゲリヲン新劇場版：破 ,40
2009-7,アマルフィ 女神の報酬,36.5
2009-4,名探偵コナン 漆黒の追跡者〈チェイサー〉,35
2009-7,ごくせん THE MOVIE,34.8
2009-5,余命1ヶ月の花嫁,31.5
2009-3,ヤッターマン,31.4
2009-4,クローズZERO II,30.2
2009-1,20世紀少年 第2章　最後の希望,30.1
2009-10,沈まぬ太陽,28
2009-6,劔岳 点の記,25.8
2008-11,私は貝になりたい,24.5
2009-3,映画ドラえもん 新・のび太の宇宙開拓史,24.5
2009-10,カイジ 人生逆転ゲーム,22.5
2009-10,僕の初恋をキミに捧ぐ,21.5
2008-12,Ｋ－２０ 怪人二十面相・伝,20
2009-3,ドロップ,19.5
2009-1,感染列島,19.1
2009-8,劇場版 仮面ライダーディケイド侍戦隊シンケンジャー 銀幕版,19
2009-9,ＢＡＬＬＡＤ 名もなき恋のうた,18.1
2008-12,２５２ －生存者あり－,17
2009-8,サマーウォーズ,16.5
2009-5,ＧＯＥＭＯＮ,14.3
2009-11,なくもんか,13.5
2008-12,赤い糸,11.5
2009-9,カムイ外伝,11.2
2008-12,劇場版ＭＡＪＯＲ（メジャー） 友情の一球（ウィニングショット）,10.5
2009-2, 少年メリケンサック,10.2
2009-8,劇場版 ＮＡＲＵＴＯ －ナルト－ 疾風伝 火の意志を継ぐ者,10.2
2009-3,映画プリキュアオールスターズＤＸ みんなともだちっ☆奇跡の全員大集合！,10.1
2009-11,ゼロの焦点,10.1
2009-4,クレヨンしんちゃん　オタケべ！カスカベ野生王国,10
