releaseDate,title,revenue
2007-9,ＨＥＲＯ,81.5
2007-7,劇場版ポケットモンスター　ダイヤモンド・パール　ディアルガVSパルキアVSダークライ ,50.2
2007-11,ＡＬＷＡＹＳ　続・三丁目の夕日,45.6
2007-7,西遊記,43.7
2006-12,武士の一分,41.1
2007-11,恋空,39
2007-3,ドラえもん　のび太の新魔界大冒険　7人の魔法使い,35.4
2007-1,どろろ,34.5
2007-3,アンフェア　ｔｈｅ　ｍｏｖｉｅ,27.2
2007-4,名探偵コナン　紺碧の棺（ジョリー・ロジャー）,25.3
2007-10,クローズＺＥＲＯ ,25
2007-4,ゲゲゲの鬼太郎,23.4
2006-12,大奥,22
2007-6,舞妓Ｈａａａａｎ！！！,20.8
2007-9,ヱヴァンゲリヲン新劇場版：序,20
2007-4,東京タワー　オカンとボクと、時々、オトン,18.8
2006-12,劇場版　どうぶつの森,17
2007-8,Ｌｉｆｅ　天国で君に逢えたら,17
2007-4,クレヨンしんちゃん　嵐を呼ぶ　歌うケツだけ爆弾！,15.5
2007-3,バッテリー,15.3
2007-1,愛の流刑地,13.9
2007-3,蒼き狼　地果て海尽きるまで,13.9
2007-8,劇場版　仮面ライダー電王　俺、誕生！ 電影版　獣拳戦隊ゲキレンジャー　ﾈｲﾈｲ!ﾎｳﾎｳ!香港大決戦,13.8
2006-12,ＮＡＮＡ２,12.5
2007.5,眉山　びざん,12.1
2007-8,劇場版　ＮＡＲＵＴＯ　ナルト　疾風伝,12.1
2007-6,大日本人,11.6
2007-1,それでもボクはやってない ,11
2007-5,俺は、君のためにこそ死ににいく,10.8
