平均次数,エッジの個数
821,2
822,2
823,2
824,3
825,6
826,2
827,2
828,2
829,2
832,2
833,3
834,2
835,1
836,2
837,1
838,2
839,3
841,4
842,1
843,3
844,3
846,2
847,2
848,1
849,1
851,2
852,3
854,3
855,3
856,2
857,2
858,2
860,2
861,2
862,1
864,1
865,1
866,2
868,4
872,2
876,3
877,1
879,2
880,1
881,3
882,2
883,1
884,1
885,1
886,2
887,3
888,2
889,3
890,2
891,1
892,3
894,3
896,1
898,4
899,1
903,1
905,1
906,2
907,2
908,2
909,3
911,2
912,1
913,1
914,3
915,1
916,2
917,4
919,1
920,4
921,1
922,2
924,1
925,2
927,1
928,1
929,1
930,1
931,1
932,2
933,2
935,1
936,2
940,1
941,3
942,1
943,3
944,1
945,4
946,1
948,2
951,2
952,1
953,1
954,5
955,2
956,2
960,1
961,1
962,1
967,3
969,1
970,3
971,1
973,3
974,2
976,3
977,2
978,1
979,4
980,1
982,1
984,1
986,1
987,1
988,1
989,2
992,1
993,1
994,1
995,1
996,4
998,2
1001,2
1003,1
1004,1
1005,1
1006,1
1007,2
1009,1
1010,3
1011,1
1012,3
1013,2
1016,1
1019,2
1023,1
1024,1
1025,1
1026,3
1028,1
1030,2
1031,2
1032,3
1036,1
1037,2
1038,1
1039,1
1040,2
1041,1
1045,1
1046,2
1047,2
1048,3
1049,2
1053,1
1058,1
1059,1
1060,1
1062,1
1063,1
1064,3
1067,2
1069,1
1071,2
1072,1
1076,1
1080,1
1081,2
1083,2
1084,1
1092,1
1095,1
1097,1
1098,2
1101,3
1103,1
1105,1
1106,2
1109,1
1110,1
1112,1
1113,1
1114,1
1116,4
1118,3
1119,1
1120,3
1121,2
1122,2
1125,1
1128,1
1130,1
1131,1
1136,1
1137,1
1138,2
1139,1
1140,2
1146,1
1149,1
1151,1
1153,1
1154,1
1156,1
1157,1
1158,2
1159,1
1160,1
1161,1
1162,2
1163,4
1167,2
1169,2
1170,1
1171,2
1173,1
1175,2
1179,2
1181,1
1183,1
1187,2
1188,2
1189,1
1190,2
1192,1
1193,1
1194,1
1197,1
1199,2
1200,1
1202,1
1204,1
1209,1
1212,1
1214,1
1220,1
1221,1
1223,2
1225,3
1228,2
1230,2
1231,3
1235,3
1237,2
1239,1
1243,2
1247,1
1249,1
1252,1
1254,3
1256,1
1257,1
1260,2
1262,2
1264,1
1265,1
1268,1
1270,1
1273,1
1274,1
1275,1
1278,1
1279,2
1280,1
1283,1
1287,1
1289,1
1292,1
1295,1
1301,1
1305,1
1307,3
1308,1
1310,1
1314,3
1315,1
1316,1
1317,2
1318,1
1319,1
1321,2
1323,1
1325,1
1326,1
1327,1
1330,1
1333,1
1335,1
1336,1
1340,2
1341,1
1342,2
1346,1
1347,1
1348,1
1349,1
1350,1
1354,1
1355,1
1357,2
1358,2
1361,1
1364,1
1367,1
1368,1
1371,1
1373,1
1378,1
1385,1
1386,1
1387,3
1389,1
1390,1
1395,1
1396,2
1399,1
1401,2
1403,2
1405,1
1407,1
1410,1
1421,1
1423,1
1425,1
1427,2
1429,1
1433,1
1437,1
1441,2
1445,1
1447,1
1449,1
1453,1
1467,2
1469,1
1473,2
1478,1
1480,1
1486,1
1489,1
1497,1
1499,1
1501,1
1504,1
1506,1
1511,1
1512,1
1516,1
1517,1
1521,2
1524,1
1528,1
1531,2
1532,2
1533,1
1535,1
1536,1
1537,1
1542,3
1546,1
1547,1
1551,1
1559,1
1570,2
1574,1
1576,1
1584,1
1586,1
1598,1
1604,2
1605,1
1606,1
1614,1
1626,1
1634,2
1653,2
1657,1
1659,1
1660,1
1666,1
1671,1
1676,1
1679,1
1680,1
1690,1
1691,1
1694,4
1696,1
1700,2
1703,1
1719,1
1728,1
1730,1
1734,1
1737,1
1738,1
1740,1
1754,1
1759,1
1774,1
1776,1
1791,1
1797,1
1798,1
1803,1
1808,1
1810,1
1813,1
1814,1
1816,1
1817,2
1819,1
1826,1
1829,1
1830,1
1836,1
1837,1
1859,1
1869,2
1870,1
1872,1
1875,1
1879,1
1883,2
1889,1
1891,1
1906,1
1925,1
1930,1
1936,1
1937,1
1949,1
1967,1
1982,1
1992,1
1993,1
1995,1
1996,1
2018,1
2020,1
2021,1
2022,1
2027,1
2032,1
2041,1
2050,1
2051,1
2057,1
2064,1
2074,2
2075,1
2085,1
2105,1
2110,2
2116,1
2123,1
2132,1
2145,2
2149,1
2156,1
2157,1
2158,1
2177,1
2195,1
2200,1
2210,1
2220,1
2229,1
2246,1
2291,1
2301,1
2302,1
2334,1
2373,1
2389,1
2397,1
2426,1
2437,1
2451,1
2457,1
2485,1
2487,1
2496,1
2499,1
2535,1
2645,1
2665,1
2672,1
2684,1
2696,1
2705,1
2720,1
2831,2
2851,1
3121,1
3252,1
3253,1
